id,length_ft,NumTowers,WetRad_ft,Degrees,Comment,CountyName,Long,Lat,MapYear
376,1150,10,1150,330,,Abbeville,-82.40271962,34.21509462,2022
377,520,3,520,360,,Abbeville,-82.39387649,34.21802912,2022
378,640,4,636,360,,Abbeville,-82.39463664,34.21467273,2022
379,525,3,503,360,,Abbeville,-82.39574715,34.21177199,2022
4001,405,2,475,360,,Abbeville,-82.40172079,34.21948391,2022
380,770,4,770,360,,Aiken,-81.58521359,33.83277578,2022
381,984,5,984,270,,Aiken,-81.59364967,33.82909486,2022
382,1090,6,1090,200,,Aiken,-81.63733927,33.78758303,2022
651,960,5,960,200,,Aiken,-81.45618906,33.76142287,2022
652,900,5,900,200,,Aiken,-81.50079219,33.75574048,2022
653,843,5,843,360,,Aiken,-81.48092449,33.69663518,2022
654,629,4,629,180,,Aiken,-81.31067375,33.69477388,2022
655,1043,6,1043,180,,Aiken,-81.52723133,33.69448816,2022
656,526,3,526,180,,Aiken,-81.2288391,33.65722569,2022
657,584,3,584,360,,Aiken,-81.23114627,33.65465585,2022
658,1182,6,1182,180,,Aiken,-81.40395758,33.64520282,2022
659,890,5,890,360,,Aiken,-81.38673379,33.64351804,2022
660,684,4,684,360,,Aiken,-81.2376377,33.63747254,2022
661,350,2,350,360,,Aiken,-81.24194717,33.63441972,2022
662,1045,5,1045,360,,Aiken,-81.44769015,33.62297236,2022
664,1069,6,1069,190,,Aiken,-81.33183062,33.59912024,2022
665,332,2,332,360,,Aiken,-81.30700887,33.60135049,2022
666,743,5,743,360,,Aiken,-81.31693698,33.59754163,2022
667,480,3,480,360,,Aiken,-81.32105788,33.5991042,2022
668,1420,8,1420,180,,Aiken,-81.49742478,33.58668251,2022
669,762,4,762,300,,Aiken,-81.34976901,33.58693804,2022
670,621,4,621,360,,Aiken,-81.26214309,33.58759073,2022
671,1620,9,1620,360,,Aiken,-81.38186272,33.56537134,2022
672,471,3,471,360,,Aiken,-81.37884539,33.58140243,2022
673,1015,6,1015,360,,Aiken,-81.50105225,33.57570258,2022
674,1000,5,1000,360,,Aiken,-81.50479974,33.58001917,2022
675,1210,7,1210,360,,Aiken,-81.54758247,33.54272106,2022
676,825,5,825,360,,Aiken,-81.55642441,33.53475649,2022
677,1620,9,1620,180,,Aiken,-81.5534971,33.53645729,2022
678,830,5,830,180,,Aiken,-81.55589096,33.53026255,2022
679,1950,10,1950,180,,Aiken,-81.54666394,33.52774728,2022
680,1485,8,1485,360,,Aiken,-81.53947902,33.5283101,2022
681,1735,10,1735,360,,Aiken,-81.53898725,33.51952352,2022
682,1650,9,1650,360,,Aiken,-81.55005635,33.51823795,2022
683,1351,7,1351,360,,Aiken,-81.53135641,33.51370353,2022
684,1750,10,1750,360,,Aiken,-81.5429923,33.51047544,2022
685,1790,9,1790,228,,Aiken,-81.55390303,33.51431856,2022
686,1400,7,1400,360,,Aiken,-81.56416361,33.51594124,2022
687,1390,7,1390,360,,Aiken,-81.47745289,33.53338916,2022
688,1460,8,1460,190,,Aiken,-81.47191001,33.53990604,2022
689,1630,9,1630,180,,Aiken,-81.46401661,33.53358717,2022
690,1110,6,1110,360,,Aiken,-81.4553147,33.53172165,2022
691,1494,8,1494,240,,Aiken,-81.44766718,33.52866099,2022
692,1585,8,1585,360,,Aiken,-81.45957397,33.52528753,2022
693,1785,9,1785,170,,Aiken,-81.47060139,33.52608314,2022
694,1420,8,1420,360,,Aiken,-81.465046,33.5183943,2022
695,1520,8,1520,360,,Aiken,-81.45545223,33.51737973,2022
696,1530,8,1530,360,,Aiken,-81.44955927,33.52406458,2022
697,870,5,870,360,,Aiken,-81.44005301,33.52773339,2022
698,1110,6,1110,330,,Aiken,-81.44129078,33.52252544,2022
699,1500,8,1500,360,,Aiken,-81.44567925,33.51643116,2022
700,1360,7,1360,180,,Aiken,-81.47408966,33.51831091,2022
701,1320,7,1320,180,,Aiken,-81.45648579,33.50905421,2022
702,625,3,625,360,,Aiken,-81.46252045,33.50704568,2022
703,1245,7,1245,360,,Aiken,-81.47675274,33.48022839,2022
704,1360,8,1360,360,,Aiken,-81.4686593,33.47828176,2022
705,662,4,662,360,,Aiken,-81.46218183,33.48301095,2022
706,902,5,902,180,,Aiken,-81.45493857,33.48238875,2022
707,1260,7,1260,260,,Aiken,-81.46005636,33.47789069,2022
708,980,5,980,360,,Aiken,-81.4895616,33.43554645,2022
709,945,5,945,360,,Aiken,-81.52101351,33.48106821,2022
710,600,3,600,360,,Aiken,-81.51776279,33.48010603,2022
5217,920,5,920,180,,Aiken,-81.26197734,33.59657516,2022
